NL Statement,Logic Expression
"If the temperature drops below freezing point and the irrigation system is enabled, the smart irrigation system shall automatically drain water from the pipes to prevent freezing damage.",(Temperature < Freezing point and Irrigation system enabled)-->(Automatically drain water from pipes)
"If the smart irrigation system detects a leak in the irrigation pipes and the water pressure drops significantly, an alert shall be sent to the user.",(Leak detected in irrigation pipes and Significant drop in water pressure)-->(Send alert to user)
"If the forecast predicts high winds exceeding 20 mph and the soil moisture level is adequate, the smart irrigation system shall delay watering to prevent water loss due to wind drift.",(High winds > 20 mph forecasted and Soil moisture level is adequate)-->(Delay watering)
"If the smart irrigation system detects abnormal water usage patterns, such as sudden spikes or prolonged durations, an alert shall be generated to investigate for leaks or malfunctions.",(Abnormal water usage patterns detected)-->(Generate alert for investigation)
"If the outdoor temperature rises above 35 degrees Celsius and the soil moisture level is below 20%, the smart irrigation system shall prioritize watering the most vulnerable plants.",(Outdoor temperature > 35 degrees Celsius and Soil moisture level < 20%)-->(Prioritize watering vulnerable plants)
"If the smart irrigation system's battery level drops below 20% and no charging source is available, it shall reduce its operational frequency to conserve power until recharged.",(Battery level < 20% and (not(Charging source available)))-->(Reduce operational frequency to conserve power)
"If the CPU temperature exceeds 80 degrees Celsius and the fan speed is below 1000 RPM, the cooling system shall increase fan speed to prevent overheating.",(CPU temperature > 80 degrees Celsius and Fan speed < 1000 RPM)-->(Increase fan speed)
"If the laptop lid is closed and the battery level is below 10%, the system shall enter hibernation mode to conserve power.",(Laptop lid is closed and Battery level < 10%)-->(Enter hibernation mode)
The computer shall remain operational as long as there is a stable internet connection and no hardware malfunctions occur.,(Computer is operational)-->(Stable internet connection and (not(Hardware malfunction)))
"If the RAM usage exceeds 90% and the system begins to slow down, the computer shall prioritize memory-intensive processes to optimize performance.",(RAM usage > 90% and System slows down)-->(Prioritize memory-intensive processes)
"If the antivirus software detects a malware threat and the threat level is critical, the computer shall quarantine the infected files and alert the user.",(Malware threat detected and Threat level is critical)-->(Quarantine infected files and Alert user)
"If the ambient temperature exceeds 35 degrees Celsius and the internal components reach a critical temperature, the computer shall shut down automatically to prevent damage.",(Ambient temperature > 35 degrees Celsius and Internal temperature is critical)-->(Automatically shut down)
"If the network connection is lost and the computer is in the middle of a file transfer, the system shall attempt to reconnect and resume the transfer.",(Network connection lost and File transfer in progress)-->(Attempt to reconnect and resume transfer)
"If the hard drive health status indicates imminent failure and the user is logged in, the computer shall prompt the user to back up important data immediately.",(Hard drive health status indicates imminent failure and User is logged in)-->(Prompt user to back up data)
"If the CPU utilization exceeds 95% for more than 10 minutes and the system becomes unresponsive, the computer shall initiate a forced restart to recover.",(CPU utilization > 95% for > 10 minutes and System becomes unresponsive)-->(Initiate forced restart)
"If the laptop battery temperature exceeds 45 degrees Celsius and the device is being charged, the computer shall temporarily disable charging to prevent battery damage.",(Battery temperature > 45 degrees Celsius and Device is charging)-->(Temporarily disable charging)
"If the battery level drops below 20% and the charger is connected, the system shall activate battery saver mode.",(Battery level < 20% and Charger connected)-->(Activate battery saver mode)
"If the system memory usage exceeds 90% and the CPU utilization is high, the system shall prioritize memory-intensive tasks.",(Memory usage > 90% and CPU utilization high)-->(Prioritize memory-intensive tasks)
"If the system detects malware activity and the antivirus software is installed, the system shall quarantine the infected files.",(Malware activity detected and Antivirus software installed)-->(Quarantine infected files)
"If the ambient temperature rises above 40 degrees Celsius and the system is under heavy load, the system shall activate thermal throttling to prevent overheating.",(Ambient temperature > 40 degrees Celsius and System under heavy load)-->(Activate thermal throttling)
"If the network connection is unstable and the download speed drops below 1 Mbps, the system shall prioritize network stability over speed.",(Network connection unstable and Download speed < 1 Mbps)-->(Prioritize network stability)
"If the disk space falls below 10% and background processes are running, the system shall alert the user to free up disk space.",(Disk space < 10% and Background processes running)-->(Alert user to free up disk space)
"If the graphics card temperature exceeds 90 degrees Celsius and the system is running graphics-intensive applications, the system shall throttle GPU performance to prevent damage.",(Graphics card temperature > 90 degrees Celsius and Graphics-intensive applications running)-->(Throttle GPU performance)
"If the system detects unauthorized access attempts and the firewall is enabled, the system shall block incoming connections from suspicious IPs.",Unauthorized access attempts detected and Firewall enabled)-->(Block incoming connections from suspicious IPs)
"If the system clock drifts more than 5 minutes from the network time and the internet connection is active, the system shall synchronize time with an NTP server.",(System clock drift > 5 minutes and Internet connection active)-->(Synchronize time with NTP server)
"If the operating system encounters critical errors multiple times within a short period, and no updates are pending, the system shall initiate a diagnostic scan.",(Critical errors encountered multiple times and No pending updates)-->(Initiate diagnostic scan)
"If the weight on the escalator exceeds the maximum capacity and the emergency stop button is not pressed, the escalator shall halt operation immediately.",Weight on escalator > Maximum capacity and (not(Emergency stop button pressed)))-->(Halt operation immediately)
"If the escalator is in maintenance mode and the maintenance personnel are present, the escalator shall remain stationary.",(Escalator is in maintenance mode and Maintenance personnel present)-->(Remain stationary)
The escalator shall only reverse direction when the safety sensors detect no obstruction on the opposite end and no passengers are on the escalator.,(not(Safety sensors detect obstruction) and (not(Passengers on escalator)))-->(Reverse direction)
"If the escalator speed exceeds the maximum limit and the overload sensor is triggered, the escalator shall reduce speed to the safe operating range.",(Escalator speed exceeds maximum limit and Overload sensor triggered)-->(Reduce speed to safe operating range)
"If the escalator's emergency stop button is pressed and held for more than 5 seconds, the escalator shall shut down completely.",(Emergency stop button pressed and held for > 5 seconds)-->(Shut down completely)
"If the escalator's handrail speed deviates by more than 10% from the set speed and the safety interlock is engaged, the escalator shall halt operation for maintenance.",(Handrail speed deviation > 10% from set speed and Safety interlock engaged)-->(Halt operation for maintenance)
The escalator shall activate a visual warning signal if the step height varies by more than 5mm between steps.,(Step height variation > 5mm)-->(Activate visual warning signal)
"If the escalator detects a foreign object jamming the steps and the emergency alarm is activated, the escalator shall reverse direction to clear the obstruction.",(Foreign object detected jamming steps and Emergency alarm activated)-->(Reverse direction to clear obstruction)
The escalator shall initiate a safety shutdown if the motor temperature exceeds 80 degrees Celsius and the fire alarm system is triggered.,(Motor temperature exceeds 80 degrees Celsius and Fire alarm system triggered)-->(Initiate safety shutdown)
"If the escalator is idle for more than 10 minutes and the motion sensors detect no passenger activity, the escalator shall switch to standby mode to conserve energy.",(Escalator idle for > 10 minutes and (not(Motion sensors detect passenger activity)))-->(Switch to standby mode)
"If the ambient light level in the room falls below 30 lux and the motion sensor detects movement, the smart lights shall turn on automatically.",(Ambient light level < 30 lux and Motion sensor detects movement)-->(Turn on smart lights automatically)
"If the smart light system detects smoke or fire alarm activation and it's nighttime, all lights in the house shall turn on to assist in evacuation.",(Smoke or Fire alarm activated and Nighttime)-->(Turn on all lights for evacuation)
"If the occupancy sensor detects no movement in a room for more than 15 minutes and the time is between sunset and sunrise, the lights shall dim to 50% brightness to conserve energy.",(not(Movement detected for > 15 minutes) and Time is between sunset and sunrise)-->(Dim lights to 50% brightness)
"When the smart light system receives a command from the user's smartphone to activate the ""Movie Mode,"" all lights in the entertainment area shall dim to 30% brightness.","(Smartphone command received for ""Movie Mode"")-->(Dim lights in entertainment area to 30% brightness)"
"If the outdoor light sensor detects daylight and any indoor lights are on, the smart lights shall automatically turn off to save energy.",(Outdoor light sensor detects daylight and Any indoor lights are on)-->(Turn off smart lights automatically)
"If the smart light bulbs' lifespan exceeds 20,000 hours and it's daytime, the system shall send a notification to the user to replace the bulbs.","(Bulb lifespan > 20,000 hours and Daytime)-->(Send notification to replace bulbs)"
"When the user activates the ""Party Mode"" via the smart home app, all lights in the house shall change color and pulse rhythmically to the beat of the music.","(User activates ""Party Mode"" via smart home app)-->(Change color and pulse lights rhythmically)"
"If the temperature in the room drops below 18 degrees Celsius and it's nighttime, the smart lights shall emit warmer tones to create a cozy atmosphere.",(Room temperature < 18 degrees Celsius and Nighttime)-->(Emit warmer tones for cozy atmosphere)
"When the security system detects an intrusion attempt, all smart lights in the house shall flash rapidly to alert occupants and deter intruders.",(Security system detects intrusion attempt)-->(Flash all smart lights rapidly)
"If the solar panel voltage drops below 10 volts and the sunlight intensity is sufficient, the system shall activate a voltage booster to maintain power output.",(Solar panel voltage < 10 volts and Sunlight intensity is sufficient)-->(Activate voltage booster)
"When the solar panel temperature exceeds 50 degrees Celsius and it's daytime, the system shall reduce power generation to prevent overheating.",(Solar panel temperature > 50 degrees Celsius and Daytime)-->(Reduce power generation)
"If the solar panel output falls below 80% of the rated capacity and it's not nighttime, the system shall send an alert to the maintenance team for inspection.",(Solar panel output < 80% of rated capacity and (not(Nighttime)))-->(Send alert for maintenance inspection)
"When the solar panel tilt angle deviates more than 20 degrees from the optimal position and it's sunrise or sunset, the system shall adjust the tilt angle for maximum efficiency.",(Solar panel tilt angle deviation > 20 degrees and Sunrise or sunset)-->(Adjust tilt angle for maximum efficiency)
"If the solar panel glass is damaged and the weather forecast predicts rain, the system shall temporarily shut down to prevent further damage and electrical hazards.",(Solar panel glass is damaged and Rain is forecasted)-->(Temporarily shut down system)
"When the battery charge level drops below 30% and the solar panel output is sufficient, the system shall prioritize charging the battery over supplying power to the grid.",(Battery charge level < 30% and Solar panel output is sufficient)-->(Prioritize battery charging)
"If the solar panel efficiency decreases by more than 15% compared to the previous day and it's sunny, the system shall conduct a self-diagnostic test to identify issues.",(Solar panel efficiency decrease > 15% compared to previous day and Sunny weather)-->(Conduct self-diagnostic test)
"When the solar panel accumulates dust or debris exceeding 5% coverage and the wind speed is low, the system shall activate cleaning brushes to remove the debris.",(Solar panel dust or debris coverage > 5% and Low wind speed)-->(Activate cleaning brushes)
"If the solar panel temperature drops below freezing point and it's nighttime, the system shall activate heating elements to prevent ice formation.",(Solar panel temperature < Freezing point and Nighttime)-->(Activate heating elements)
"When the solar panel temperature exceeds 60 degrees Celsius and it's sunny, the system shall automatically adjust the angle to minimize heat absorption.",(Solar panel temperature > 60 degrees Celsius and Sunny weather)-->(Adjust angle to minimize heat absorption)
"If the signal strength drops below 50% and there is no obstruction, the antenna system shall automatically adjust its orientation to optimize reception.",(Signal strength < 50% and (not(Obstruction)))-->(Adjust antenna orientation)
"When the wind speed exceeds 40 mph and lightning is detected within 5 miles, the antenna system shall retract to a safe position to prevent damage.",(Wind speed > 40 mph and Lightning detected within 5 miles)-->(Retract antenna to safe position)
"If the antenna cable is disconnected and the system is powered on, the antenna system shall display a warning message indicating the cable issue.",(Antenna cable disconnected and System powered on)-->(Display warning message)
"When the ambient temperature drops below freezing and there is no precipitation, the antenna system shall activate heating elements to prevent ice buildup.",(Ambient temperature < Freezing point and (not(Precipitation)))-->(Activate heating elements)
"If the antenna rotor motor malfunctions and the system is in operation, the antenna system shall send an alert to the maintenance team for immediate inspection.",(Antenna rotor motor malfunction and System in operation)-->(Send alert for maintenance inspection)
"When the antenna mast height exceeds 20 feet and strong winds are forecasted, the system shall lower the mast to reduce wind load.",(Antenna mast height > 20 feet and Strong winds forecasted)-->(Lower mast to reduce wind load)
"If the antenna elements become corroded and the weather is clear, the antenna system shall activate a cleaning mechanism to remove corrosion.",(Antenna elements corroded and Weather is clear)-->(Activate cleaning mechanism)
"When the antenna feedline impedance deviates by more than 10% from the optimal value, the system shall adjust the impedance matching network for maximum efficiency.",(Antenna feedline impedance deviation > 10% and System operational)-->(Adjust impedance matching network)
"If the antenna system detects electromagnetic interference (EMI) exceeding a predefined threshold of 75 dB, it shall switch to an alternative frequency band with less interference.",(EMI detected > 75 dB)-->(Switch to alternative frequency band)
"When the antenna system detects a nearby tower or building less than 10 feet from the antenna structure, it shall activate collision avoidance measures to prevent damage.",(Tower or building detected < 10 feet from antenna)-->(Activate collision avoidance measures)
"If the network switch detects a bandwidth utilization exceeding 90% and the traffic latency increases beyond a threshold of 100 milliseconds, it shall prioritize critical data packets to optimize network performance.",(Bandwidth utilization > 90% and Traffic latency > 100 milliseconds)-->(Prioritize critical data packets)
"If the network switch identifies unauthorized access attempts from external sources exceeding 5 within a 1-minute interval, it shall initiate an automatic firewall block to prevent further intrusion.",(Unauthorized access attempts > 5 in < 1 minute)-->(Initiate automatic firewall block)
"The network switch shall remain operational as long as there is a stable power supply, and the temperature does not exceed 45 degrees Celsius.",(Network switch is operational)-->(Stable power supply and Temperature < 45 degrees Celsius)
"If the network switch detects a loop in the network topology, it shall automatically disable the affected ports to prevent broadcast storms.",(Network switch detects loop in topology)-->(Disable affected ports)
"If the network switch experiences a sudden surge in incoming traffic exceeding the maximum capacity, it shall implement Quality of Service (QoS) mechanisms to prioritize critical applications.",(Incoming traffic surge > Maximum capacity)-->(Implement Quality of Service mechanisms)
"If the network switch detects a malfunctioning port causing packet loss exceeding 2% over a 5-minute period, it shall generate a port error message for diagnostic purposes.",(Packet loss > 2% for > 5 minutes)-->(Generate port error message)
"If the network switch detects a power surge exceeding 10% of the normal voltage, it shall activate surge protection mechanisms to safeguard connected devices.",(Power surge > 10% of normal voltage)-->(Activate surge protection mechanisms)
"If the network switch firmware version is outdated and vulnerable to security exploits, it shall automatically download and install the latest firmware patch to mitigate risks.",(Firmware version outdated and vulnerable)-->(Download and install latest firmware patch)
"If the network switch port encounters a physical link failure due to cable disconnection, it shall log the event and initiate a link recovery process.",(Physical link failure due to cable disconnection)-->(Log event and initiate link recovery process)
"If the network switch CPU utilization exceeds 90% for more than 10 minutes, it shall generate a high CPU utilization alert for system administrators.",(CPU utilization > 90% for > 10 minutes)-->(Generate high CPU utilization alert)
"If the server detects a memory leak exceeding 95% and the system performance deteriorates, it shall prioritize memory cleanup processes to optimize resource utilization.",(Memory leak > 95% and System performance deteriorates)-->(Prioritize memory cleanup processes)
The server shall remain operational as long as there is a stable network connection and no hardware failures occur.,(Stable network connection and (not(Hardware failure)))-->(Server is operational)
"If the server disk space falls below 10% of total capacity and disk I/O latency increases, the system shall generate a low disk space alert for administrators.",(Disk space < 10% of total capacity and Disk I/O latency increases)-->(Generate low disk space alert)
"If the server CPU utilization exceeds 90% for more than 15 minutes and the response time rises above 500 milliseconds, the system shall initiate load balancing to redistribute traffic.",(CPU utilization > 90% for > 15 minutes and Response time > 500 milliseconds)-->(Initiate load balancing)
"If the server detects unauthorized login attempts exceeding 5 within a 1-minute interval, it shall temporarily block the IP address to prevent further intrusion.",(Unauthorized login attempts > 5 within 1 minute)-->(Temporarily block IP address)
"If the server temperature rises above 45 degrees Celsius and the hardware monitoring system detects critical temperature levels, it shall automatically shutdown to prevent damage.",(Server temperature > 45 degrees Celsius and Critical temperature detected)-->(Automatically shutdown)
"If the server software encounters a critical error resulting in application crashes more than 3 times in an hour, it shall initiate a system reboot to restore functionality.",(Application crashes > 3 times in an hour)-->(Initiate system reboot)
"If the server detects a sudden network traffic spike exceeding 100% of normal levels and packet loss increases, it shall activate DDoS mitigation mechanisms.",(Network traffic spike > 100% of normal levels and Packet loss increases)-->(Activate DDoS mitigation mechanisms)
"If the server RAID array reports disk failure on any of the redundant drives, it shall trigger an automatic rebuild process to maintain data integrity.",(RAID array reports disk failure)-->(Trigger automatic rebuild process)
"If the CPU temperature exceeds 80 degrees Celsius and the fan speed is below 50%, the server shall increase fan speed to prevent overheating.",(CPU temperature > 80 degrees Celsius and Fan speed < 50%)-->(Increase fan speed)
"If the heart rate measured by the biosensor exceeds 120 beats per minute and the user is inactive, an alert shall be sent to the emergency contact.",(Heart rate > 120 bpm and User is inactive)-->(Send alert to emergency contact)
"If the blood glucose level detected by the biosensor falls below 70 mg/dL, the system shall notify the user to consume glucose-rich food or medication.",(Blood glucose level < 70 mg/dL)-->(Notify user to consume glucose-rich food or medication)
"If the body temperature measured by the biosensor exceeds 38 degrees Celsius and the user experiences chills, the system shall advise the user to seek medical attention.",(Body temperature > 38 degrees Celsius and User experiences chills)-->(Advise user to seek medical attention)
"If the oxygen saturation level detected by the biosensor drops below 90% and the user reports shortness of breath, the system shall recommend immediate medical evaluation.",(Oxygen saturation level < 90% and User reports shortness of breath)-->(Recommend immediate medical evaluation)
"If the stress level measured by the biosensor exceeds 80% and the user's activity level is low, the system shall suggest relaxation techniques or activities.",(Stress level > 80% and User's activity level is low)-->(Suggest relaxation techniques or activities)
"If the blood pressure recorded by the biosensor exceeds 140/90 mmHg and the user experiences dizziness, the system shall advise the user to rest and monitor their condition.",(Blood pressure > 140/90 mmHg and User experiences dizziness)-->(Advise user to rest and monitor their condition)
"If the respiratory rate measured by the biosensor is below 12 breaths per minute and the user feels fatigued, the system shall recommend consulting a healthcare professional.",(Respiratory rate < 12 breaths per minute and User feels fatigued)-->(Recommend consulting a healthcare professional)
"If the electrodermal activity detected by the biosensor indicates high stress levels and the user reports difficulty sleeping, the system shall suggest relaxation techniques before bedtime.",(Electrodermal activity indicates high stress levels and User reports difficulty sleeping)-->(Suggest relaxation techniques before bedtime)
"If the body weight recorded by the biosensor increases by more than 2 kilograms within a week, the system shall alert the user to monitor their dietary habits.",(Body weight increase > 2 kilograms within a week)-->(Alert user to monitor dietary habits)
"If the blood alcohol concentration measured by the biosensor exceeds 0.08% and the user intends to drive, the system shall discourage driving and suggest alternative transportation.",(Blood alcohol concentration > 0.08% and User intends to drive)-->(Discourage driving and suggest alternative transportation)
" If the fuel level is low and the engine is running, the low fuel indicator will be activated.",(Low Fuel and Engine Running) --> (Low Fuel Indicator Activated)
 The headlights will be turned on iff it is dark outside and the ignition is on.,(Dark Outside and Ignition On)  --> (Headlights On)
 The car will stall if and only if the fuel pump fails or there is a malfunction in the ignition system.,(Fuel Pump Failure or Ignition System Malfunction) --> (Car Stalls)
" If the driver is not wearing a seatbelt and the car is in motion, an audible warning will be triggered.",(Not Wearing Seatbelt and Car In Motion) --> (Audible Warning Activated)
 The car's doors will lock only if the ignition is on and the vehicle is in motion.,(Ignition On and Car In Motion) --> ( DoorsLocked)
 The windshield wipers will operate iff it is raining and the wiper control is set to automatic mode.,(Raining and Wiper Control Automatic) --> ( WipersOperating)
 The anti-lock braking system (ABS) will activate only in the event of a sudden and hard brake application.,(Sudden Brake Application and Hard Brake) --> (ABSActivated)
 The car's hazard lights will be turned on if and only if both turn signals are engaged simultaneously.,(Left Turn Signal On and Right Turn Signa lOn) --> ( HazardLightsOn)
"If the engine temperature exceeds a critical level or the radiator fan fails, an overheating warning will be displayed.",(Engine Temperature > Critical Level or Radiator Fan Failure) --> (Overheating Warning Displayed)
 The car's horn will sound if there is a collision and the airbag is deployed.,(Collision and Airbag Deployed) --> (HornSound)
 The car will not start unless the key is inserted into the ignition and turned.,(Key Inserted and Key Turned) --> (Car Starts)
 The transmission will shift gears only if the clutch is engaged and the accelerator pedal is pressed.,(Clutch Engaged and Accelerator Pedal Pressed) --> (Gear Shift)
The car's GPS navigation system will guide the driver only if the destination is set and the ignition is on.,(Destination Set and Ignition On) --> (Navigation Guidance)
The fuel injector will operate iff the engine is running and the fuel pump is functioning properly.,(Engine Running and Fuel Pump Functioning) --> (Fuel Injector Operating)
The car's side mirrors will automatically adjust if the driver selects the mirror adjustment button and the car is in reverse gear.,(Mirror Adjustment Button Selected and Car In Reverse) --> (Side Mirrors Adjusted)
 The car's air conditioning will be turned on iff the temperature inside the car is above a set comfort level.,(Temperature Inside Car > Comfort Level) --> (Air Conditioning On)
 The car's brake lights will illuminate when either the brake pedal is pressed or the anti-lock braking system (ABS) is activated.,(Brake Pedal Pressed or ABS Activated) --> (Brake Lights Illuminated)
"If the car engine is switched ON and the driver's seatbelt is unbuckled, the seat-belt sign will be activated.",(Car Parked and Not Wearing Seatbelt) --> (Seatbelt sign Activated)
 The bike's engine will start only if the ignition key is turned and the kickstand is up.,(Key Turned and Kickstand Up) --> (Engine Starts)
 The headlight will be turned on if and only if it is dark outside and the bike is in motion.,(Dark Outside and Bike In Motion) --> (Headlight On)
 The bike's brakes will engage iff the brake lever is pulled and the bike is in motion.,(Brake Lever Pulled and Bike In Motion) --> (Brakes Engaged)
The bike will stall if and only if the fuel level is low or there is a malfunction in the carburetor.,(Low Fuel or Carburetor Malfunction) -->( Bike Stalls)
"If the tire pressure is below the recommended level or there is a puncture, the tire maintenance light will illuminate.",(Tire Pressure Below Recommended or Puncture) --> (Tire Maintenance Light On)
The bike's turn signals will be activated only if the corresponding turn signal switch is engaged and the bike is in motion.,(Left Turn Signal Switch Engaged and Bike In Motion) --> (Left Turn Signal Activated)
The bike's horn will sound if there is a collision and the airbag is deployed.,(Collision and Airbag Deployed) --> (Horn Sound)
The bike's speedometer will display an error message iff there is a failure in the speed sensor.,(Speed Sensor Failure) --> (Error Message Displayed) 
The bike's kickstart will engage only if the gear is in neutral and the kickstart lever is pressed.,(Gear In Neutral and Kickstart Lever Pressed) --> (Kickstart Engaged)
"If the engine temperature exceeds a critical level or the cooling fan fails, an overheating warning will be displayed.",(Engine Temperature > Critical Level or Cooling Fan Failure) --> (Overheating Warning Displayed)
"The bike will not start unless the kill switch is in the ""on"" position and the clutch lever is pulled.",(Kill Switch On and Clutch Lever Pulled) --> (Bike Starts)
The bike's side stand will be retracted only if the bike is in an upright position and the side stand switch is engaged.,(Bike Upright and Side Stand Switch Engaged) --> (Side Stand Retracted)
The bike's indicators will flash iff the corresponding indicator switch is engaged and the bike is turning.,(Left Indicator Switch Engaged and Bike Turning) --> (Left Indicator Flashing)
"If the bike is stationary and the rider is not wearing a helmet, an audible warning will be triggered.",(Bike stationery and Not Wearing Helmet) --> (Audible Warning Activated)
The bike's gear will shift only if the clutch is engaged and the rider changes the gear lever position.,(Clutch Engaged and Gear Leve Position Changed) --> (GearShift)
The bike's fuel injection system will operate iff the engine is running and the fuel pump is functioning properly.,(Engine Running and Fuel Pump Functioning) --> (Fuel Injection Operating)
The bike's battery will charge only if the engine is running and the charging system is operational.,(Engine Running and Charging System Operational) --> (Battery Charging)
"The bike's headlights will turn off if the engine is off and the headlight switch is in the ""off"" position.",(Engine Off and Headlight Switch Off) --> (Headlights Off)
The bike's exhaust emission control system will activate only if the engine is running and the emission control switch is engaged.,(Engine Running and Emission Control Switch Engaged) --> (Emission Control Activated)
"If the cable car is not in motion and the current cable car operator is unavailable, a backup operator shall take control within 3 time units.","Triggered_Time_Action((Not In Motion and Operator Unavailable), (Backup Operator Takes Control), 3 time units)"
The emergency brakes will engage iff the cable tension is too high or there is a fault in the brake system.,(Cable Tension Too High or Brake System Fault) --> (Emergency Brakes Engaged)
The cable car will stop if and only if either the stop button is pressed or there is a loss of power.,(Stop Button Pressed and Power Loss) --> (Cable Car Stops)
"If the weather conditions are unfavorable or there is a fault in the sensor system, the cable car's speed will be reduced.",(Unfavorable Weather or Sensor System Fault) --> (Cable Car Speed Reduced)
The cable car doors will open only if the cable car is at a station and the door open button is pressed.,(At Station and Door Open Button Pressed) --> (Cable Car Doors Open)
The cable car's heating system will be activated iff the temperature inside the cable car is below a set comfort level.,(Temperature Inside Car < ComfortL evel) --> (Heating System Activated)
The cable car will switch to manual control only if the cable tension is too low and the manual control switch is engaged.,(Cable Tension Too Low and Manual Control Switch Engaged) --> (Cable Car Manual Control)
The cable car's lights will be turned off if both the emergency exit door is open and the stop button is pressed.,(Emergency Exit Door Open and Stop Button Pressed) --> (Lights Turned Off)
The cable car will remain stationary until the doors are closed and the cable car operator presses the start button.,(Doors Closed and Operator Presses Start Button) --> Cable Car Remains Stationary
"If the communication system fails or there is a fault in the cable car control unit, an alarm will be activated.",(Communication System Failure or Control Unit Fault) --> (Alarm Activated)
The cable car will switch to maintenance mode iff the maintenance switch is engaged and the cable car is at a maintenance station.,(Maintenance Switch Engaged and At Maintenance Station) --> (Cable Car Maintenance Mode)
"If the cable car is at the top station and the cable tension is too high, the cable car will enter a safety mode.",(AtTop Station and Cable Tension Too High) --> (Cable Car Safety Mode)
The cable car will not operate unless both the start button is pressed and the cable car doors are closed.,(StartButton Pressed and Doors Closed) --> (Cable Car Operates)
"If there is a fault in the cable car's sensor system or the cable tension is too low, the cable car will stop immediately.",(Sensor System Fault or Cable Tension Too Low) --> (Cable Car Stops Immediately)
The cable car will switch to emergency power only if there is a power failure and the emergency power switch is engaged.,(Power Failure and Emergency Power Switch Engaged) --> (Cable Car Emergency Power)
"If the cable car doors are open for more than 5 minutes, an announcement will be made reminding passengers to close the doors.",(Doors Open for more than 5 minutes) --> (Announcement Doors Reminder)
"If the cable car is in motion and the emergency brakes are engaged, an immediate stop will be initiated.",(In Motion and Emergency Brakes Engaged) --> (Immediate Stop Initiated)
"If the elevator is not in motion and the primary control system fails, the backup control system shall take over within 2 time units.","Triggered_Timed_Action((Not In Motion and Control System Failure),(Backup Control System Takes Over), 2 time units)"
The emergency brakes will engage iff the elevator cabin is moving too fast or there is a fault in the brake system.,(Cabin Moving Too Fast or Brake System Fault) --> (Emergency Brakes Engaged)
The elevator will stop only if either the stop button is pressed or there is a power failure.,(Stop Button Pressed or Power Failure) --> (Elevator Stops)
"If the weight inside the elevator exceeds the maximum capacity or there is a malfunction in the weight sensor, the elevator will not move.",(Weight Exceeds Capacity or Weight Sensor Malfunction) --> (Elevator Does Not Move)
The elevator doors will open only if the elevator is at a floor and the door open button is pressed.,(At Floor and Door Open Button Pressed) --> (Elevator Doors Open)
The interior lights will be turned off iff the emergency exit door is open and the stop button is pressed.,(Emergency Exit Door Open and Stop Button Pressed) --> (Interior Lights Off)
The elevator will switch to manual control only if the weight exceeds the capacity and the manual control switch is engaged.,(Weight Exceeds Capacity and Manual Control Switch Engaged) --> (Elevator Manual Control)
The elevator's alarm will sound if both the emergency stop button is pressed and the communication system fails.,(Emergency Stop Button Pressed and Communication System Failure) --> (Elevator Alarm Activated)
The elevator will remain stationary until the doors are closed and the start button is pressed.,(Doors Closed and Start Button Pressed) --> (Elevator Remains Stationary)
"If the emergency power supply fails or there is a fault in the power backup system, the elevator will switch to battery power.",(Emergency Power Supply Failure or Power Backup System Fault) --> (Elevator Battery Power)
The elevator will switch to maintenance mode iff the maintenance switch is engaged and the elevator is at a maintenance floor.,(Maintenance Switch Engaged and At Maintenance Floor) --> (Elevator Maintenance Mode)
"If the elevator is at the top floor and the weight exceeds the capacity, the elevator will enter an overload safety mode.",(AtTop Floor and Weight Exceeds Capacity) --> (Elevator Overload Safety Mode)
The elevator will not operate unless both the start button is pressed and the elevator doors are closed.,(Start Button Pressed and Doors Closed) --> (Elevator Operates)
"If there is a fault in the elevator's weight sensor system or the emergency brakes are engaged, the elevator will stop immediately.",(Weight Sensor System Fault or Emergency Brakes Engaged) --> (Elevator Stops Immediately)
The elevator will switch to emergency power only if there is a power failure and the emergency power switch is engaged.,(Power Failure and Emergency Power Switch Engaged) --> (Elevator Emergency Power)
"The elevator's interior lights will turn off if the cabin is empty and the light control switch is in the ""off"" position.",(Cabin Empty and Light Control Switch Off) -->  (Interior Lights Off)
"If the elevator doors are open for more than 5 minutes, an announcement will be made reminding passengers to close the doors.",(Doors Open for more than 5 minutes) --> (Announcement Doors Reminder)
"If the vending machine is out of stock and the restocking process is initiated, it shall be restocked within 3 time units.","Triggered_Timed_Action((Out Of Stock and Restocking Initiated),(Restocked) 3 time units)"
The refund button will be activated iff the selected item is unavailable or there is a coin jam in the coin slot.,(Item Unavailable or Coin Jam) --> (Refund Button Activated)
The vending machine will accept coins only if both the coin slot is not jammed and the machine is in a ready state.,(Not Coin Slot Jambed and Machine Ready) --> (Coins Accepted)
"If the temperature inside the vending machine exceeds a critical level or there is a malfunction in the cooling system, perishable items will be removed.",(Temperature Exceeds Critical Level or Cooling System Malfunction) --> (Perishable Items Removed)
The door to the vending machine will remain locked until the correct code is entered and the payment is received.,(Correct Code Entered and Payment Received) --> (Door Unlocked)
"If the change dispenser is out of change and the coin return button is pressed, an out-of-change message will be displayed.",(Out Of Change and Coin Return Button Pressed) --> (Out Of Change Message Displayed)
The vending machine's display will show an error iff there is a failure in the item selection mechanism or the payment system malfunctions.,(Item Selection Failure or Payment System Malfunction) --> (Error Displayed)
"If the item is dispensed successfully and the door is not closed, an audible alert will be triggered.",(Item Dispensed Successfully and Door Not Closed) --> (Audible Alert Activated)
